F1,F2,F3,F4,F5,F6,F7,F8,label
-6.78E-09,1,-0.555407473,7.36E-11,1.52E-10,2.76E-10,2.54E-10,5.86E-10,T
-9.96E-09,1,-0.815908323,1.00E-10,1.52E-10,3.02E-10,2.27E-10,6.12E-10,T
-4.02E-09,1,-0.329312395,5.06E-11,1.52E-10,2.53E-10,2.77E-10,5.63E-10,T
-7.39E-09,1,-0.605377762,7.87E-11,1.52E-10,2.81E-10,2.48E-10,5.91E-10,T
-1.01E-08,1,-0.827376914,1.01E-10,1.52E-10,3.03E-10,2.26E-10,6.13E-10,T
-4.17E-09,1,-0.341600171,5.19E-11,1.52E-10,2.54E-10,2.75E-10,5.64E-10,T
-6.64E-09,1,-0.543938882,7.25E-11,1.52E-10,2.75E-10,2.55E-10,5.85E-10,T
-1.36E-08,1,-1.114091686,1.30E-10,1.52E-10,3.33E-10,1.97E-10,6.43E-10,T
2.45E-09,1,0.200700341,-3.29E-12,1.52E-10,1.99E-10,3.30E-10,5.09E-10,T
1.23E-08,1,1.007597628,-8.54E-11,1.52E-10,1.17E-10,4.13E-10,4.27E-10,T
1.22E-08,1,0.999405777,-8.45E-11,1.52E-10,1.18E-10,4.12E-10,4.28E-10,T
1.23E-08,1,1.007597628,-8.54E-11,1.52E-10,1.17E-10,4.13E-10,4.27E-10,T
1.58E-08,1,1.2943124,-1.15E-10,1.52E-10,8.75E-11,4.42E-10,3.98E-10,T
9.11E-09,1,0.746277593,-5.88E-11,1.52E-10,1.43E-10,3.86E-10,4.53E-10,T
1.24E-08,1,1.015789479,-8.62E-11,1.52E-10,1.16E-10,4.13E-10,4.26E-10,T
1.03E-08,1,0.843760615,-6.87E-11,1.52E-10,1.33E-10,3.96E-10,4.43E-10,T
7.10E-09,1,0.581621395,-4.20E-11,1.52E-10,1.60E-10,3.69E-10,4.70E-10,T
4.87E-10,1,0.039894313,1.31E-11,1.52E-10,2.15E-10,3.14E-10,5.25E-10,T
3.49E-09,1,0.285895587,-1.20E-11,1.52E-10,1.90E-10,3.39E-10,5.00E-10,T
1.36E-08,1,1.114091686,-9.62E-11,1.52E-10,1.06E-10,4.23E-10,4.16E-10,T
7.31E-09,1,0.598824281,-4.38E-11,1.52E-10,1.58E-10,3.71E-10,4.68E-10,T
1.71E-08,1,1.400806458,-1.25E-10,1.52E-10,7.67E-11,4.53E-10,3.87E-10,T
1.48E-09,1,0.121239389,4.79E-12,1.52E-10,2.07E-10,3.22E-10,5.17E-10,T
4.57E-09,1,0.374367574,-2.10E-11,1.52E-10,1.81E-10,3.48E-10,4.91E-10,T
-2.30E-09,1,-0.188412565,3.63E-11,1.52E-10,2.38E-10,2.91E-10,5.48E-10,T
4.79E-09,1,0.392389645,-2.28E-11,1.52E-10,1.79E-10,3.50E-10,4.89E-10,T
1.89E-09,1,0.154825977,1.38E-12,1.52E-10,2.03E-10,3.26E-10,5.13E-10,T
1.12E-08,1,0.917487271,-7.62E-11,1.52E-10,1.26E-10,4.03E-10,4.36E-10,T
8.44E-09,1,0.691392193,-5.32E-11,1.52E-10,1.49E-10,3.80E-10,4.59E-10,T
2.17E-09,1,0.177763159,-9.58E-13,1.52E-10,2.01E-10,3.28E-10,5.11E-10,T
5.31E-09,1,0.434987269,-2.71E-11,1.52E-10,1.75E-10,3.54E-10,4.85E-10,T
-6.91E-10,1,-0.056605688,2.29E-11,1.52E-10,2.25E-10,3.04E-10,5.35E-10,T
2.41E-09,1,0.1974236,-2.96E-12,1.52E-10,1.99E-10,3.30E-10,5.09E-10,T
2.36E-09,1,0.193327675,-2.54E-12,1.52E-10,2.00E-10,3.30E-10,5.10E-10,T
-7.59E-10,1,-0.062176146,2.35E-11,1.52E-10,2.25E-10,3.04E-10,5.35E-10,T
1.53E-08,1,1.253353147,-1.10E-10,1.52E-10,9.17E-11,4.38E-10,4.02E-10,T
6.41E-09,1,0.525097626,-3.63E-11,1.52E-10,1.66E-10,3.63E-10,4.76E-10,T
6.42E-09,1,0.525916811,-3.64E-11,1.52E-10,1.66E-10,3.64E-10,4.76E-10,T
9.11E-09,1,0.746277593,-5.88E-11,1.52E-10,1.43E-10,3.86E-10,4.53E-10,T
1.56E-08,1,1.277928699,-1.13E-10,1.52E-10,8.92E-11,4.40E-10,3.99E-10,T
1.87E-08,1,1.531876068,-1.39E-10,1.52E-10,6.33E-11,4.66E-10,3.73E-10,T
1.51E-08,1,1.236969446,-1.09E-10,1.52E-10,9.33E-11,4.36E-10,4.03E-10,T
1.86E-08,1,1.523684218,-1.38E-10,1.52E-10,6.42E-11,4.65E-10,3.74E-10,T
8.82E-09,1,0.722521226,-5.64E-11,1.52E-10,1.46E-10,3.84E-10,4.56E-10,T
6.03E-09,1,0.493968593,-3.31E-11,1.52E-10,1.69E-10,3.60E-10,4.79E-10,T
8.99E-09,1,0.736447372,-5.78E-11,1.52E-10,1.44E-10,3.85E-10,4.54E-10,T
1.28E-08,1,1.048556881,-8.95E-11,1.52E-10,1.13E-10,4.17E-10,4.23E-10,T
1.55E-08,1,1.269736848,-1.12E-10,1.52E-10,9.00E-11,4.39E-10,4.00E-10,T
9.68E-09,1,0.792971141,-6.35E-11,1.52E-10,1.38E-10,3.91E-10,4.49E-10,T
1.22E-08,1,0.999405777,-8.45E-11,1.52E-10,1.18E-10,4.12E-10,4.28E-10,T
1.18E-08,1,0.966638375,-8.12E-11,1.52E-10,1.21E-10,4.08E-10,4.31E-10,T
1.21E-08,1,0.991213927,-8.37E-11,1.52E-10,1.18E-10,4.11E-10,4.28E-10,T
2.81E-09,1,0.230191003,-6.29E-12,1.52E-10,1.96E-10,3.33E-10,5.06E-10,T
9.17E-09,1,0.751192703,-5.93E-11,1.52E-10,1.43E-10,3.86E-10,4.53E-10,T
1.86E-08,1,1.523684218,-1.38E-10,1.52E-10,6.42E-11,4.65E-10,3.74E-10,T
2.69E-09,1,0.220360782,-5.29E-12,1.52E-10,1.97E-10,3.32E-10,5.07E-10,T
8.21E-09,1,0.672550937,-5.13E-11,1.52E-10,1.51E-10,3.78E-10,4.61E-10,T
1.24E-08,1,1.015789479,-8.62E-11,1.52E-10,1.16E-10,4.13E-10,4.26E-10,T
-3.90E-09,1,-0.319482175,4.96E-11,1.52E-10,2.52E-10,2.78E-10,5.62E-10,T
2.43E-09,1,0.19906197,-3.13E-12,1.52E-10,1.99E-10,3.30E-10,5.09E-10,T
-7.38E-09,1,-0.604558577,7.86E-11,1.52E-10,2.81E-10,2.49E-10,5.91E-10,T
-1.02E-09,1,-0.083556876,2.56E-11,1.52E-10,2.28E-10,3.02E-10,5.38E-10,T
-4.40E-09,1,-0.360441428,5.38E-11,1.52E-10,2.56E-10,2.73E-10,5.66E-10,T
1.15E-08,1,0.942062823,-7.87E-11,1.52E-10,1.23E-10,4.06E-10,4.33E-10,T
1.43E-08,1,1.171434641,-1.02E-10,1.52E-10,1.00E-10,4.29E-10,4.10E-10,T
1.37E-08,1,1.122283537,-9.70E-11,1.52E-10,1.05E-10,4.24E-10,4.15E-10,T
